Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Color
Business Engineer,business-engineer,611274296df8380b487ec3ac,6112b06b7386b05b0d163426,Tue Aug 10 2021 16:59:23 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:07:15 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:09:00 GMT+0000 (Coordinated Universal Time),#8b56ba
Cloud Engineer,cloud-engineer,611274296df8380b487ec3ac,611274296df8385f1b7ec453,Sat Jan 11 2020 15:29:37 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:07:41 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:09:00 GMT+0000 (Coordinated Universal Time),#ff715b
DevOps Engineer,devops-engineer,611274296df8380b487ec3ac,611274296df83871527ec454,Sat Jan 11 2020 15:29:42 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:07:30 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:09:00 GMT+0000 (Coordinated Universal Time),#68d4ff
Network Engineer,network-engineer,611274296df8380b487ec3ac,611274296df83804ee7ec452,Sat Jan 11 2020 15:29:31 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:07:51 GMT+0000 (Coordinated Universal Time),Sat Jan 08 2022 03:09:00 GMT+0000 (Coordinated Universal Time),#3ccf91
